row_index,customer_id,timestamp,anomaly_type,anomaly_class,modified_columns,details
278,516510410563.0,2025-05-01 00:00:00,pf_manipulation,1,POWER_FACTOR_L3,phase=3
248,516510144205.0,2025-05-01 00:00:00,phase_loss,1,"VOLTAGE_L3,CURRENT_L3,ACTIVE_POWER_L3,REACTIVE_POWER_L3,APPARENT_POWER_L3",phase=3; residual=0.008
313,516510717078.0,2025-05-01 00:00:00,meter_defect_drift,1,"VOLTAGE_L1,VOLTAGE_L2,VOLTAGE_L3,CURRENT_L1,CURRENT_L2,CURRENT_L3,POWER_FACTOR_L1,POWER_FACTOR_L2,POWER_FACTOR_L3",factor=0.915
233,516510036124.0,2025-05-01 00:00:00,intermittent_theft,2,CURRENT_L1,phase=1; drop=0.432
41,516500174698.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.693
294,516510506819.0,2025-05-01 00:00:00,pf_manipulation,1,POWER_FACTOR_L2,phase=2
498,516540198774.0,2025-05-01 00:00:00,voltage_imbalance,1,VOLTAGE_L3,phase=3; drop=0.158
465,516532295451.0,2025-05-01 00:00:00,voltage_imbalance,1,VOLTAGE_L2,phase=2; drop=0.142
217,516502195750.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.548
161,516500839154.0,2025-05-01 00:00:00,intermittent_theft,2,CURRENT_L1,phase=1; drop=0.258
326,516520035173.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.585
195,516501051666.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.720
321,516520024284.0,2025-05-01 00:00:00,voltage_imbalance,1,VOLTAGE_L2,phase=2; drop=0.159
286,516510450934.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.733
414,516530364789.0,2025-05-01 00:00:00,phase_loss,1,"VOLTAGE_L2,CURRENT_L2,ACTIVE_POWER_L2,REACTIVE_POWER_L2,APPARENT_POWER_L2",phase=2; residual=0.063
39,516500170457.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.545
3,516500000161.0,2025-05-01 00:00:00,phase_loss,1,"VOLTAGE_L2,CURRENT_L2,ACTIVE_POWER_L2,REACTIVE_POWER_L2,APPARENT_POWER_L2",phase=2; residual=0.046
398,516530018053.0,2025-05-01 00:00:00,phase_loss,1,"VOLTAGE_L3,CURRENT_L3,ACTIVE_POWER_L3,REACTIVE_POWER_L3,APPARENT_POWER_L3",phase=3; residual=0.021
360,516520344340.0,2025-05-01 00:00:00,intermittent_theft,2,CURRENT_L2,phase=2; drop=0.376
196,516501051808.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.681
85,516500415389.0,2025-05-01 00:00:00,meter_defect_drift,1,"VOLTAGE_L1,VOLTAGE_L2,VOLTAGE_L3,CURRENT_L1,CURRENT_L2,CURRENT_L3,POWER_FACTOR_L1,POWER_FACTOR_L2,POWER_FACTOR_L3",factor=1.047
387,516520631148.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.619
386,516520624697.0,2025-05-01 00:00:00,intermittent_theft,2,CURRENT_L2,phase=2; drop=0.464
415,516530375557.0,2025-05-01 00:00:00,pf_manipulation,1,POWER_FACTOR_L3,phase=3
55,516500289455.0,2025-05-01 00:00:00,meter_defect_drift,1,"VOLTAGE_L1,VOLTAGE_L2,VOLTAGE_L3,CURRENT_L1,CURRENT_L2,CURRENT_L3,POWER_FACTOR_L1,POWER_FACTOR_L2,POWER_FACTOR_L3",factor=0.942
219,516502207786.0,2025-05-01 00:00:00,phase_loss,1,"VOLTAGE_L3,CURRENT_L3,ACTIVE_POWER_L3,REACTIVE_POWER_L3,APPARENT_POWER_L3",phase=3; residual=0.030
482,516532826968.0,2025-05-01 00:00:00,neutral_current_leakage,1,CURRENT_N,multiplier=3.578
478,516532747506.0,2025-05-01 00:00:00,intermittent_theft,2,CURRENT_L1,phase=1; drop=0.316
438,516530642278.0,2025-05-01 00:00:00,phase_loss,1,"VOLTAGE_L3,CURRENT_L3,ACTIVE_POWER_L3,REACTIVE_POWER_L3,APPARENT_POWER_L3",phase=3; residual=0.020
490,516532874155.0,2025-05-01 00:00:00,meter_defect_drift,1,"VOLTAGE_L1,VOLTAGE_L2,VOLTAGE_L3,CURRENT_L1,CURRENT_L2,CURRENT_L3,POWER_FACTOR_L1,POWER_FACTOR_L2,POWER_FACTOR_L3",factor=0.950
374,516520508562.0,2025-05-01 00:00:00,phase_loss,1,"VOLTAGE_L3,CURRENT_L3,ACTIVE_POWER_L3,REACTIVE_POWER_L3,APPARENT_POWER_L3",phase=3; residual=0.071
225,516510022403.0,2025-05-01 00:00:00,pf_manipulation,1,POWER_FACTOR_L3,phase=3
338,516520119978.0,2025-05-01 00:00:00,meter_defect_drift,1,"VOLTAGE_L1,VOLTAGE_L2,VOLTAGE_L3,CURRENT_L1,CURRENT_L2,CURRENT_L3,POWER_FACTOR_L1,POWER_FACTOR_L2,POWER_FACTOR_L3",factor=0.908
174,516500944923.0,2025-05-01 00:00:00,pf_manipulation,1,POWER_FACTOR_L2,phase=2
72,516500368359.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.649
349,516520273217.0,2025-05-01 00:00:00,intermittent_theft,2,CURRENT_L2,phase=2; drop=0.575
63,516500322461.0,2025-05-01 00:00:00,intermittent_theft,2,CURRENT_L1,phase=1; drop=0.532
181,516500987510.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.422
37,516500158275.0,2025-05-01 00:00:00,voltage_imbalance,1,VOLTAGE_L1,phase=1; drop=0.187
335,516520085543.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.474
20,516500071930.0,2025-05-01 00:00:00,pf_manipulation,1,POWER_FACTOR_L1,phase=1
325,516520032773.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.356
426,516530516223.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.403
111,516500548003.0,2025-05-01 00:00:00,voltage_imbalance,1,VOLTAGE_L3,phase=3; drop=0.112
103,516500486687.0,2025-05-01 00:00:00,phase_loss,1,"VOLTAGE_L3,CURRENT_L3,ACTIVE_POWER_L3,REACTIVE_POWER_L3,APPARENT_POWER_L3",phase=3; residual=0.046
156,516500767532.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.672
101,516500480140.0,2025-05-01 00:00:00,pf_manipulation,1,POWER_FACTOR_L3,phase=3
507,516540540286.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.400
501,516540350812.0,2025-05-01 00:00:00,meter_defect_drift,1,"VOLTAGE_L1,VOLTAGE_L2,VOLTAGE_L3,CURRENT_L1,CURRENT_L2,CURRENT_L3,POWER_FACTOR_L1,POWER_FACTOR_L2,POWER_FACTOR_L3",factor=0.922
283,516510437298.0,2025-05-01 00:00:00,phase_loss,1,"VOLTAGE_L2,CURRENT_L2,ACTIVE_POWER_L2,REACTIVE_POWER_L2,APPARENT_POWER_L2",phase=2; residual=0.076
241,516510063202.0,2025-05-01 00:00:00,intermittent_theft,2,CURRENT_L2,phase=2; drop=0.570
122,516500613475.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.572
